point,lat,lon,year,var,scen,score
0,38.39583276,-122.520835,2040,tasmin,rcp85,1.0021679853	

1,38.39583276,-122.3541684,2040,pr,rcp26,1.74778027656	

2,38.39583276,-122.3541684,2040,tasmax,rcp26,1.00822136792	

3,38.39583276,-122.3541684,2040,tasmin,rcp26,1.00067337648	

4,38.39583276,-122.3541684,2040,pr,rcp45,1.69716735483	

5,38.39583276,-122.3541684,2040,tasmax,rcp45,1.00767345146	

6,38.39583276,-122.3541684,2040,tasmin,rcp45,1.00016846654	

7,38.39583276,-122.3541684,2040,pr,rcp60,1.65750127511	

8,38.39583276,-122.3541684,2040,tasmax,rcp60,1.0080718856	

9,38.39583276,-122.3541684,2040,tasmin,rcp60,1.00054282167	

10,38.39583276,-122.3541684,2040,pr,rcp85,1.79992185212	

11,38.39583276,-122.3541684,2040,tasmax,rcp85,1.00866732382	

12,38.39583276,-122.3541684,2040,tasmin,rcp85,1.00119339534	

13,38.39583276,-122.1875018,2040,pr,rcp26,1.808014128	

14,38.39583276,-122.1875018,2040,tasmax,rcp26,1.00599595841	

15,38.39583276,-122.1875018,2040,tasmin,rcp26,1.00185323535	

16,38.39583276,-122.1875018,2040,pr,rcp45,1.75454517763	

17,38.39583276,-122.1875018,2040,tasmax,rcp45,1.00546531365	

18,38.39583276,-122.1875018,2040,tasmin,rcp45,1.00136984493	

19,38.39583276,-122.1875018,2040,pr,rcp60,1.71768013966	

20,38.39583276,-122.1875018,2040,tasmax,rcp60,1.00586978478	

21,38.39583276,-122.1875018,2040,tasmin,rcp60,1.00173581378	

22,38.39583276,-122.1875018,2040,pr,rcp85,1.86281257461	

23,38.39583276,-122.1875018,2040,tasmax,rcp85,1.00647267067	

24,38.39583276,-122.1875018,2040,tasmin,rcp85,1.00238820423	

25,37.22916614,-122.3541684,2040,pr,rcp26,1.67512572366	

26,37.22916614,-122.3541684,2040,tasmax,rcp26,1.00037507311	

27,37.22916614,-122.3541684,2040,tasmin,rcp26,0.999307138542	

28,37.22916614,-122.3541684,2040,pr,rcp45,1.62584532968	

29,37.22916614,-122.3541684,2040,tasmax,rcp45,0.999748181724	

30,37.22916614,-122.3541684,2040,tasmin,rcp45,0.998811104166	

31,37.22916614,-122.3541684,2040,pr,rcp60,1.56033386897	

32,37.22916614,-122.3541684,2040,tasmax,rcp60,1.00018127072	

33,37.22916614,-122.3541684,2040,tasmin,rcp60,0.999019622408	

34,37.22916614,-122.3541684,2040,pr,rcp85,1.70724380935	

35,37.22916614,-122.3541684,2040,tasmax,rcp85,1.00072400375	

36,37.22916614,-122.3541684,2040,tasmin,rcp85,0.999814897023	

37,37.22916614,-122.1875018,2040,pr,rcp26,1.86232568095	

38,37.22916614,-122.1875018,2040,tasmax,rcp26,1.00576149962	

39,37.22916614,-122.1875018,2040,tasmin,rcp26,0.999464530617	

40,37.22916614,-122.1875018,2040,pr,rcp45,1.80811271556	

41,37.22916614,-122.1875018,2040,tasmax,rcp45,1.00513395644	

42,37.22916614,-122.1875018,2040,tasmin,rcp45,0.998982837291	

43,37.22916614,-122.1875018,2040,pr,rcp60,1.73560797079	

44,37.22916614,-122.1875018,2040,tasmax,rcp60,1.00560258631	

45,37.22916614,-122.1875018,2040,tasmin,rcp60,0.999197288948	

46,37.22916614,-122.1875018,2040,pr,rcp85,1.89625447222	

47,37.22916614,-122.1875018,2040,tasmax,rcp85,1.00613336754	

48,37.22916614,-122.1875018,2040,tasmin,rcp85,0.999993299212	

49,37.3958328,-122.3541684,2040,pr,rcp26,1.88131318861	

50,37.3958328,-122.3541684,2040,tasmax,rcp26,1.00045344475	

51,37.3958328,-122.3541684,2040,tasmin,rcp26,1.00242547276	

52,37.3958328,-122.3541684,2040,pr,rcp45,1.82463919889	

53,37.3958328,-122.3541684,2040,tasmax,rcp45,0.999839331934	

54,37.3958328,-122.3541684,2040,tasmin,rcp45,1.00194056219	

55,37.3958328,-122.3541684,2040,pr,rcp60,1.7552473019	

56,37.3958328,-122.3541684,2040,tasmax,rcp60,1.00028055999	

57,37.3958328,-122.3541684,2040,tasmin,rcp60,1.00216105727	

58,37.3958328,-122.3541684,2040,pr,rcp85,1.92078928803	

59,37.3958328,-122.3541684,2040,tasmax,rcp85,1.00081934598	

60,37.3958328,-122.3541684,2040,tasmin,rcp85,1.0029361272	

61,37.3958328,-122.1875018,2040,pr,rcp26,1.51112704902	

62,37.3958328,-122.1875018,2040,tasmax,rcp26,1.00687045167	

63,37.3958328,-122.1875018,2040,tasmin,rcp26,1.00107605163	

64,37.3958328,-122.1875018,2040,pr,rcp45,1.45972791667	

65,37.3958328,-122.1875018,2040,tasmax,rcp45,1.00625674991	

66,37.3958328,-122.1875018,2040,tasmin,rcp45,1.00060238258	

67,37.3958328,-122.1875018,2040,pr,rcp60,1.40322603116	

68,37.3958328,-122.1875018,2040,tasmax,rcp60,1.0067300529	

69,37.3958328,-122.1875018,2040,tasmin,rcp60,1.00083080441	

70,37.3958328,-122.1875018,2040,pr,rcp85,1.5373647484	

71,37.3958328,-122.1875018,2040,tasmax,rcp85,1.00725804844	

72,37.3958328,-122.1875018,2040,tasmin,rcp85,1.00160936907	

73,37.3958328,-122.0208352,2040,pr,rcp26,1.17599124501	

74,37.3958328,-122.0208352,2040,tasmax,rcp26,1.00367300413	

75,37.3958328,-122.0208352,2040,tasmin,rcp26,1.00453008557	

76,37.3958328,-122.0208352,2040,pr,rcp45,1.13387666057	

77,37.3958328,-122.0208352,2040,tasmax,rcp45,1.00305384162	

78,37.3958328,-122.0208352,2040,tasmin,rcp45,1.00406988727	

79,37.3958328,-122.0208352,2040,pr,rcp60,1.08999268456	

80,37.3958328,-122.0208352,2040,tasmax,rcp60,1.00356364162	

